NO,나이,이직여부,출장빈도,일급여,부서,출근거리,학력수준,전공,직원수,고유번호,환경만족도,성별,시급,직무참여도,직급,직무,직무만족도,결혼여부,월급,월급여총액,근무회사수,18세이상,초과근무여부,급여인상비율,성과평가등급,동료관계만족도,표준근무시간,주식옵션수준,근무연수,교육횟수,워라밸만족도,회사근무기간,현재역할근무기간,승진경과기간,현재관리자와근무기간,이름
712,22,N,적음,1136,연구개발,5,3,생명과학,1,284,4,남자,60,4,1,분석가,2,이혼,2328,12392,1,Y,Y,16,3,1,80,1,4,2,2,4,2,2,2,연하근
713,40,N,없음,1151,연구개발,9,5,생명과학,1,287,4,남자,63,2,2,의료 담당자,4,결혼,4876,14242,9,Y,N,14,3,4,80,1,5,5,1,3,2,0,2,김회우
714,46,N,적음,644,연구개발,1,4,의학,1,288,4,남자,97,3,3,의료 담당자,1,이혼,9396,12368,7,Y,N,16,3,3,80,1,17,3,3,4,2,0,3,여성석
715,32,Y,적음,1045,판매,4,4,의학,1,291,4,남자,32,1,3,영업사원,4,결혼,10400,25812,1,Y,N,11,3,3,80,0,14,2,2,14,8,9,8,심상지
716,30,N,없음,829,연구개발,1,1,생명과학,1,292,3,남자,88,2,3,제조 디렉터,3,미혼,8474,20925,1,Y,N,22,4,3,80,0,12,2,3,11,8,5,8,이방운
717,51,N,적음,1469,연구개발,8,4,생명과학,1,296,2,남자,81,2,3,연구 디렉터,2,결혼,12490,15736,5,Y,N,16,3,4,80,2,16,5,1,10,9,4,7,정규찬
718,29,Y,적음,992,연구개발,1,3,기술학위,1,300,3,남자,85,3,1,분석가,3,미혼,2058,19757,0,Y,N,14,3,4,80,0,7,1,2,6,2,1,5,박해성
719,36,N,적음,1396,연구개발,5,2,생명과학,1,304,4,남자,62,3,2,연구원,2,미혼,5914,9945,8,Y,N,16,3,4,80,0,16,3,4,13,11,3,7,김정구
720,37,N,많음,663,연구개발,11,3,기타,1,306,2,남자,47,3,3,연구 디렉터,4,이혼,12185,10056,1,Y,Y,14,3,3,80,3,10,1,3,10,8,0,7,이준상
721,38,N,적음,119,판매,3,3,생명과학,1,307,1,남자,76,3,3,영업사원,3,이혼,10609,9647,0,Y,N,12,3,3,80,2,17,6,2,16,10,5,13,이성하
722,31,N,없음,979,연구개발,1,4,의학,1,308,3,남자,90,1,2,제조 디렉터,3,결혼,4345,4381,0,Y,N,12,3,4,80,1,6,2,3,5,4,1,4,서혀준
723,59,N,적음,142,연구개발,3,3,생명과학,1,309,3,남자,70,2,1,분석가,4,결혼,2177,8456,3,Y,N,17,3,1,80,1,7,6,3,1,0,0,0,장주준
724,37,N,많음,319,판매,4,4,마케팅,1,311,1,남자,41,3,1,영업 담당자,4,이혼,2793,2539,4,Y,N,17,3,3,80,1,13,2,3,9,8,5,8,김세리
725,29,Y,적음,896,연구개발,18,1,의학,1,315,3,남자,86,2,1,분석가,4,미혼,2389,14961,1,Y,Y,13,3,3,80,0,4,3,2,4,3,0,1,김혀수
726,42,N,적음,532,연구개발,4,2,기술학위,1,319,3,남자,58,3,5,매니저,4,결혼,19232,4933,1,Y,N,11,3,4,80,0,22,3,3,22,17,11,15,장시준
727,59,N,적음,818,인적자원,6,2,의학,1,321,2,남자,52,3,1,인적자원,3,결혼,2267,25657,8,Y,N,17,3,4,80,0,7,2,2,2,2,2,2,김여수
728,33,Y,적음,813,연구개발,14,3,의학,1,325,3,남자,58,3,1,연구원,4,결혼,2436,22149,5,Y,Y,13,3,3,80,1,8,2,1,5,4,0,4,김지하
729,52,N,없음,771,판매,2,4,생명과학,1,329,1,남자,79,2,5,매니저,3,미혼,19068,21030,1,Y,Y,18,3,4,80,0,33,2,4,33,7,15,12,강창권
730,32,Y,적음,515,연구개발,1,3,생명과학,1,331,4,남자,62,2,1,연구원,3,미혼,3730,9571,0,Y,Y,14,3,4,80,0,4,2,1,3,2,1,2,장견문
731,32,N,없음,976,판매,26,4,마케팅,1,333,3,남자,100,3,2,영업사원,4,결혼,4465,12069,0,Y,N,18,3,1,80,0,4,2,3,3,2,2,2,박교준
732,41,N,적음,1411,연구개발,19,2,생명과학,1,334,3,남자,36,3,2,분석가,1,이혼,3072,19877,2,Y,N,16,3,1,80,2,17,2,2,1,0,0,0,배석하
733,40,N,적음,1300,연구개발,24,2,기술학위,1,335,1,남자,62,3,2,분석가,4,이혼,3319,24447,1,Y,N,17,3,1,80,2,9,3,3,9,8,4,7,홍선하
734,45,N,적음,252,연구개발,1,3,기타,1,336,3,남자,70,4,5,매니저,4,결혼,19202,15970,0,Y,N,11,3,3,80,1,25,2,3,24,0,1,7,이미하
735,31,N,많음,1327,연구개발,3,4,의학,1,337,2,남자,73,3,3,연구 디렉터,3,이혼,13675,13523,9,Y,N,12,3,1,80,1,9,3,3,2,2,2,2,김성원
736,34,N,적음,470,연구개발,2,4,생명과학,1,339,4,남자,84,2,2,제조 디렉터,1,결혼,5957,23687,6,Y,N,13,3,2,80,1,13,3,3,11,9,5,9,박정요
737,45,N,많음,1199,연구개발,7,4,생명과학,1,341,1,남자,77,4,2,제조 디렉터,3,결혼,6434,5118,4,Y,N,17,3,4,80,1,9,1,3,3,2,0,2,최정숙
738,37,Y,많음,504,연구개발,10,3,의학,1,342,1,남자,61,3,3,제조 디렉터,3,이혼,10048,22573,6,Y,N,11,3,2,80,2,17,5,3,1,0,0,0,장승기
739,29,N,적음,665,연구개발,15,3,생명과학,1,346,3,남자,60,3,1,분석가,4,미혼,2340,22673,1,Y,N,19,3,1,80,0,6,1,3,6,5,1,5,박동완
740,29,N,적음,1247,판매,20,2,마케팅,1,349,4,남자,45,3,2,영업사원,4,이혼,6931,10732,2,Y,N,14,3,4,80,1,10,2,3,3,2,0,2,우도하
741,40,N,적음,1416,연구개발,2,2,의학,1,352,1,남자,49,3,5,연구 디렉터,3,이혼,19436,5949,0,Y,N,19,3,4,80,1,22,5,3,21,7,3,9,정주서
742,51,N,적음,833,연구개발,1,3,생명과학,1,353,3,남자,96,3,1,분석가,4,결혼,2723,23231,1,Y,N,11,3,2,80,0,1,0,2,1,0,0,0,김성하
743,31,Y,많음,307,연구개발,29,2,의학,1,355,3,남자,71,2,1,연구원,2,미혼,3479,11652,0,Y,N,11,3,2,80,0,6,2,4,5,4,1,4,윤이기
744,32,N,많음,1311,연구개발,7,3,생명과학,1,359,2,남자,100,4,1,연구원,2,결혼,2794,26062,1,Y,N,20,4,3,80,0,5,3,1,5,1,0,3,박전챙
745,38,N,없음,1327,판매,2,2,생명과학,1,361,4,남자,39,2,2,영업사원,4,결혼,5249,19682,3,Y,N,18,3,4,80,1,13,0,3,8,7,7,5,양주하
746,32,N,적음,128,연구개발,2,1,기술학위,1,362,4,남자,84,2,2,연구원,1,미혼,2176,19737,4,Y,N,13,3,4,80,0,9,5,3,6,2,0,4,육지하
747,28,Y,적음,529,연구개발,2,4,생명과학,1,364,1,남자,79,3,1,연구원,3,미혼,3485,14935,2,Y,N,11,3,3,80,0,5,5,1,0,0,0,0,백우미
748,29,N,적음,1210,판매,2,3,의학,1,366,1,남자,78,2,2,영업사원,2,결혼,6644,3687,2,Y,N,19,3,2,80,2,10,2,3,0,0,0,0,장동승
749,31,N,적음,1463,연구개발,23,3,의학,1,367,2,남자,64,2,2,의료 담당자,4,결혼,5582,14408,0,Y,N,21,4,2,80,1,10,2,3,9,0,7,8,강동하
750,25,N,없음,675,연구개발,5,2,생명과학,1,369,2,남자,85,4,2,의료 담당자,1,이혼,4000,18384,1,Y,N,12,3,4,80,2,6,2,3,6,3,1,5,이연숭
751,45,N,적음,1385,연구개발,20,2,의학,1,372,3,남자,79,3,4,의료 담당자,4,결혼,13496,7501,0,Y,Y,14,3,2,80,0,21,2,3,20,7,4,10,이승운
752,36,N,적음,1403,연구개발,6,3,생명과학,1,373,4,남자,47,3,1,연구원,4,결혼,3210,20251,0,Y,N,11,3,3,80,1,16,4,3,15,13,10,11,박미준
753,55,N,적음,452,연구개발,1,3,의학,1,374,4,남자,81,3,5,매니저,1,미혼,19045,18938,0,Y,Y,14,3,3,80,0,37,2,3,36,10,4,13,양이하
754,47,Y,없음,666,연구개발,29,4,생명과학,1,376,1,남자,88,3,3,매니저,2,결혼,11849,10268,1,Y,Y,12,3,4,80,1,10,2,2,10,7,9,9,남지운
755,28,N,적음,1158,연구개발,9,3,의학,1,377,4,남자,94,3,1,분석가,4,결혼,2070,2613,1,Y,N,23,4,4,80,1,5,3,2,5,2,0,4,강도귤
756,37,N,적음,228,판매,6,4,의학,1,378,3,남자,98,3,2,영업사원,4,결혼,6502,22825,4,Y,N,14,3,2,80,1,7,5,4,5,4,0,1,손미태
757,21,N,적음,996,연구개발,3,2,의학,1,379,4,남자,100,2,1,분석가,3,미혼,3230,10531,1,Y,N,17,3,1,80,0,3,4,4,3,2,1,0,최승비
758,50,N,적음,797,연구개발,4,1,생명과학,1,385,1,남자,96,3,5,연구 디렉터,2,이혼,19144,15815,3,Y,N,14,3,1,80,2,28,4,2,10,4,1,6,한규오
759,53,N,적음,1070,연구개발,3,4,의학,1,386,3,남자,45,3,4,연구 디렉터,3,결혼,17584,21016,3,Y,Y,16,3,4,80,3,21,5,2,5,3,1,3,오대유
760,42,N,적음,635,판매,1,1,생명과학,1,387,2,남자,99,3,2,영업사원,3,결혼,4907,24532,1,Y,N,25,4,3,80,0,20,3,3,20,16,11,6,박혀하
761,29,N,많음,442,판매,2,2,생명과학,1,388,2,남자,44,3,2,영업사원,4,미혼,4554,20260,1,Y,N,18,3,1,80,0,10,3,2,10,7,0,9,양오관
762,55,N,적음,147,연구개발,20,2,기술학위,1,389,2,남자,37,3,2,연구원,4,결혼,5415,15972,3,Y,Y,19,3,4,80,1,12,4,3,10,7,0,8,김효련
763,26,N,많음,496,연구개발,11,2,의학,1,390,1,남자,60,3,2,의료 담당자,1,결혼,4741,22722,1,Y,Y,13,3,3,80,1,5,3,3,5,3,3,3,백미운
764,44,Y,많음,920,연구개발,24,3,생명과학,1,392,4,남자,43,3,1,연구원,3,이혼,3161,19920,3,Y,Y,22,4,4,80,1,19,0,1,1,0,0,0,이시하
765,38,N,적음,688,연구개발,23,4,생명과학,1,393,4,남자,82,3,2,의료 담당자,4,이혼,5745,18899,9,Y,N,14,3,2,80,1,10,2,3,2,2,1,2,최종하
766,26,Y,적음,1449,연구개발,16,4,의학,1,394,1,남자,45,3,1,연구원,2,이혼,2373,14180,2,Y,Y,13,3,4,80,1,5,2,3,3,2,0,2,김시원
767,36,N,적음,506,연구개발,3,3,기술학위,1,397,3,남자,30,3,2,분석가,2,미혼,4485,26285,4,Y,N,12,3,4,80,0,10,2,3,8,0,7,7,고희번
768,26,Y,적음,950,판매,4,4,마케팅,1,401,4,남자,48,2,2,영업사원,4,미혼,5828,8450,1,Y,Y,12,3,2,80,0,8,0,3,8,7,7,4,강화석
769,37,N,많음,889,연구개발,9,3,의학,1,403,2,남자,53,3,1,분석가,4,결혼,2326,11411,1,Y,Y,12,3,3,80,3,4,3,2,4,2,1,2,박후찬
770,18,Y,적음,230,연구개발,3,3,생명과학,1,405,3,남자,54,3,1,연구원,3,미혼,1420,25233,1,Y,N,13,3,3,80,0,0,2,3,0,0,0,0,오은하
771,35,N,적음,1232,판매,16,3,마케팅,1,406,3,남자,96,3,3,영업사원,2,결혼,8020,5100,0,Y,N,15,3,3,80,2,12,3,2,11,9,6,9,백태하
772,36,N,많음,566,연구개발,18,4,생명과학,1,407,3,남자,81,4,1,연구원,4,결혼,3688,7122,4,Y,N,18,3,4,80,2,4,2,3,1,0,0,0,이대윤
773,51,N,적음,1302,연구개발,2,3,의학,1,408,4,남자,84,1,2,제조 디렉터,2,이혼,5482,16321,5,Y,N,18,3,4,80,1,13,3,3,4,1,1,2,이병하
774,41,N,적음,334,판매,2,4,생명과학,1,410,4,남자,88,3,4,매니저,2,미혼,16015,15896,1,Y,N,19,3,2,80,0,22,2,3,22,10,0,4,김혀성
775,28,N,적음,1476,연구개발,16,2,의학,1,412,2,남자,68,4,2,의료 담당자,1,미혼,5661,4824,0,Y,N,19,3,3,80,0,9,2,3,8,3,0,7,김효수
776,31,N,적음,218,판매,7,3,기술학위,1,416,2,남자,100,4,2,영업사원,4,결혼,6929,12241,4,Y,N,11,3,2,80,1,10,3,2,8,7,7,7,김도준
777,39,N,적음,1132,연구개발,1,3,의학,1,417,3,남자,48,4,3,의료 담당자,4,이혼,9613,10942,0,Y,N,17,3,1,80,3,19,5,2,18,10,3,7,이재성
778,32,N,적음,906,판매,7,3,생명과학,1,420,4,남자,91,2,2,영업사원,3,결혼,5484,16985,1,Y,N,14,3,3,80,1,13,3,2,13,8,4,8,김윤기
779,58,N,없음,390,연구개발,1,4,생명과학,1,422,4,남자,32,1,2,의료 담당자,3,이혼,5660,17056,2,Y,Y,13,3,4,80,1,12,2,3,5,3,1,2,정세준
780,31,N,적음,691,연구개발,5,4,기술학위,1,423,3,남자,86,3,1,분석가,4,결혼,4821,10077,0,Y,Y,12,3,3,80,1,6,4,3,5,2,0,3,방재하
781,31,N,적음,106,인적자원,2,3,인적자원,1,424,1,남자,62,2,2,인적자원,1,결혼,6410,17822,3,Y,N,12,3,4,80,0,9,1,3,2,2,1,0,박청모
782,45,N,많음,1249,연구개발,7,3,생명과학,1,425,1,남자,97,3,3,연구원,1,이혼,5210,20308,1,Y,N,18,3,1,80,1,24,2,3,24,9,9,11,김광미
783,31,N,적음,192,연구개발,2,4,생명과학,1,426,3,남자,32,3,1,분석가,4,이혼,2695,7747,0,Y,Y,18,3,2,80,1,3,2,1,2,2,2,2,김성재
784,39,N,적음,117,연구개발,10,1,의학,1,429,3,남자,99,3,4,매니저,1,결혼,17068,5355,1,Y,Y,14,3,4,80,0,21,3,3,21,9,11,10,윤하재
785,52,Y,적음,723,연구개발,8,4,의학,1,433,3,남자,85,2,2,분석가,2,결혼,4941,17747,2,Y,N,15,3,1,80,0,11,3,2,8,2,7,7,한기재
786,27,N,적음,1377,판매,2,3,생명과학,1,437,4,남자,74,3,2,영업사원,3,미혼,4478,5242,1,Y,Y,11,3,1,80,0,5,3,3,5,4,0,4,정정우
787,31,N,적음,691,판매,7,3,마케팅,1,438,4,남자,73,3,2,영업사원,4,이혼,7547,7143,4,Y,N,12,3,4,80,3,13,3,3,7,7,1,7,신도시
788,28,Y,적음,1157,연구개발,2,4,의학,1,440,1,남자,84,1,1,분석가,4,결혼,3464,24737,5,Y,Y,13,3,4,80,0,5,4,2,3,2,2,2,전혀미
789,39,N,많음,672,연구개발,7,2,의학,1,444,3,남자,54,2,5,매니저,4,결혼,19272,21141,1,Y,N,15,3,1,80,1,21,2,3,21,9,13,3,안승미
790,33,N,많음,508,판매,10,3,마케팅,1,446,2,남자,46,2,2,영업사원,4,미혼,4682,4317,3,Y,N,14,3,3,80,0,9,6,2,7,7,0,1,김혀슨
791,47,N,적음,1482,연구개발,5,5,생명과학,1,447,4,남자,42,3,5,연구 디렉터,3,결혼,18300,16375,4,Y,N,11,3,2,80,1,21,2,3,3,2,1,1,박규주
792,27,N,없음,210,판매,1,1,마케팅,1,449,3,남자,73,3,2,영업사원,2,결혼,6349,22107,0,Y,Y,13,3,4,80,1,6,0,3,5,4,1,4,조순찬
793,45,N,적음,549,연구개발,8,4,기타,1,452,4,남자,75,3,2,분석가,4,결혼,3697,9278,9,Y,N,14,3,1,80,2,12,3,3,10,9,9,8,김동산
794,40,N,적음,1124,판매,1,2,의학,1,453,2,남자,57,1,2,영업사원,4,결혼,7457,13273,2,Y,Y,22,4,3,80,3,6,2,2,4,3,0,2,문군영
795,29,Y,적음,318,연구개발,8,4,기타,1,454,2,남자,77,1,1,연구원,1,결혼,2119,4759,1,Y,Y,11,3,4,80,0,7,4,2,7,7,0,7,이강하
796,29,N,적음,738,연구개발,9,5,기타,1,455,2,남자,30,2,1,연구원,4,미혼,3983,7621,0,Y,N,17,3,3,80,0,4,2,3,3,2,2,2,송효균
797,37,N,적음,1192,연구개발,5,2,의학,1,460,4,남자,61,3,2,제조 디렉터,4,이혼,6347,23177,7,Y,N,16,3,3,80,2,8,2,2,6,2,0,4,김전우
798,38,N,적음,343,연구개발,15,2,생명과학,1,461,3,남자,92,2,3,연구 디렉터,4,이혼,11510,15682,0,Y,Y,14,3,2,80,1,12,3,3,11,10,2,9,오태석
799,35,N,적음,1296,연구개발,5,4,기술학위,1,464,3,남자,62,3,3,제조 디렉터,2,미혼,8095,18264,0,Y,N,13,3,4,80,0,17,5,3,16,6,0,13,조겅유
800,23,N,적음,1309,연구개발,26,1,생명과학,1,465,3,남자,83,3,1,분석가,4,이혼,2904,16092,1,Y,N,12,3,3,80,2,4,2,2,4,2,0,2,한거윤
801,41,N,적음,483,연구개발,6,3,의학,1,466,4,남자,95,2,2,제조 디렉터,2,미혼,6032,10110,6,Y,Y,15,3,4,80,0,8,3,3,5,4,1,2,이정지
802,47,N,많음,1309,판매,4,1,의학,1,467,2,남자,99,3,2,영업 담당자,3,미혼,2976,25751,3,Y,N,19,3,1,80,0,5,3,3,0,0,0,0,윤연석
803,29,N,없음,746,판매,2,3,생명과학,1,469,4,남자,61,3,2,영업사원,3,결혼,4649,16928,1,Y,N,14,3,1,80,1,4,3,2,4,3,0,2,오허우
804,42,N,적음,544,인적자원,2,1,기술학위,1,470,3,남자,52,3,1,인적자원,3,이혼,2696,24017,0,Y,Y,11,3,3,80,1,4,5,3,3,2,1,0,전정하
805,37,N,적음,1319,연구개발,6,3,의학,1,474,3,남자,51,4,2,분석가,1,이혼,5974,17001,4,Y,Y,13,3,1,80,2,13,2,3,7,7,6,7,노병석
806,26,N,적음,933,판매,1,3,생명과학,1,476,3,남자,57,3,2,영업사원,3,결혼,5296,20156,1,Y,N,17,3,2,80,1,8,3,3,8,7,7,7,이대태
807,42,N,적음,1332,연구개발,2,4,기타,1,477,1,남자,98,2,2,의료 담당자,4,미혼,6781,17078,3,Y,N,23,4,2,80,0,14,6,3,1,0,0,0,오숭군
808,36,N,많음,541,판매,3,4,의학,1,481,1,남자,48,2,3,영업사원,4,결혼,9699,7246,4,Y,N,11,3,1,80,1,16,2,3,13,9,1,12,김준재
809,57,N,적음,593,연구개발,1,4,의학,1,482,4,남자,88,3,2,의료 담당자,3,결혼,6755,2967,2,Y,N,11,3,3,80,0,15,2,3,3,2,1,2,이문하
810,21,N,없음,895,판매,9,2,의학,1,484,1,남자,39,3,1,영업 담당자,4,미혼,2610,2851,1,Y,N,24,4,3,80,0,3,3,2,3,2,2,2,남상비
811,41,Y,많음,143,판매,4,3,마케팅,1,488,1,남자,56,3,2,영업사원,2,미혼,9355,9558,1,Y,N,18,3,3,80,0,8,5,3,8,7,7,7,황준하
812,50,N,적음,1046,연구개발,10,3,기술학위,1,491,4,남자,100,2,3,의료 담당자,4,미혼,10496,2755,6,Y,N,15,3,4,80,0,20,2,3,4,3,1,3,천응찬
813,40,Y,적음,575,판매,22,2,마케팅,1,492,3,남자,68,2,2,영업사원,3,결혼,6380,6110,2,Y,Y,12,3,1,80,2,8,6,3,6,4,1,0,하산영
814,31,N,적음,408,연구개발,9,4,생명과학,1,493,3,남자,42,2,1,분석가,2,미혼,2657,7551,0,Y,Y,16,3,4,80,0,3,5,3,2,2,2,2,임희하
815,29,N,적음,1283,연구개발,23,3,생명과학,1,495,4,남자,54,3,1,분석가,4,미혼,2201,18168,9,Y,N,16,3,4,80,0,6,4,3,3,2,1,2,황정연
816,35,N,적음,755,연구개발,9,4,생명과학,1,496,3,남자,97,2,2,의료 담당자,2,미혼,6540,19394,9,Y,N,19,3,3,80,0,10,5,3,1,1,0,0,이겅미
817,27,N,적음,1469,연구개발,1,2,의학,1,497,4,남자,82,3,1,연구원,2,이혼,3816,17881,1,Y,N,11,3,2,80,1,5,2,3,5,2,0,4,안혀하
818,28,N,적음,304,판매,9,4,생명과학,1,498,2,남자,92,3,2,영업사원,4,미혼,5253,20750,1,Y,N,16,3,4,80,0,7,1,3,7,5,0,7,김영하
819,49,N,적음,1261,연구개발,7,3,기타,1,499,2,남자,31,2,3,의료 담당자,3,미혼,10965,12066,8,Y,N,24,4,3,80,0,26,2,3,5,2,0,0,이원성
820,34,Y,없음,1362,판매,19,3,마케팅,1,502,1,남자,67,4,2,영업사원,4,미혼,5304,4652,8,Y,Y,13,3,2,80,0,9,3,2,5,2,0,4,장효수
821,30,N,적음,202,판매,2,1,기술학위,1,508,3,남자,72,3,1,영업 담당자,2,결혼,2476,17434,1,Y,N,18,3,1,80,1,1,3,3,1,0,0,0,장지하
822,26,Y,많음,575,연구개발,3,1,기술학위,1,510,3,남자,73,3,1,분석가,1,미혼,3102,6582,0,Y,N,22,4,3,80,0,7,2,3,6,4,0,4,김미하
823,36,N,적음,164,판매,2,2,의학,1,513,2,남자,61,2,3,영업사원,3,결혼,7596,3809,1,Y,N,13,3,2,80,2,10,2,3,10,9,9,0,배윤하
824,30,Y,많음,464,연구개발,4,3,기술학위,1,514,3,남자,40,3,1,분석가,4,미혼,2285,3427,9,Y,Y,23,4,3,80,0,3,4,3,1,0,0,0,김미원
825,37,N,적음,1305,연구개발,10,4,생명과학,1,518,3,남자,49,3,2,제조 디렉터,2,미혼,4197,21123,2,Y,Y,12,3,4,80,0,18,2,2,1,0,0,1,조운영
826,43,N,적음,982,연구개발,12,3,생명과학,1,520,1,남자,59,2,4,연구 디렉터,2,이혼,14336,4345,1,Y,N,11,3,3,80,1,25,3,3,25,10,3,9,박주숙
827,54,N,적음,821,연구개발,5,2,의학,1,522,1,남자,86,3,5,연구 디렉터,1,결혼,19406,8509,4,Y,N,11,3,3,80,1,24,4,2,4,2,1,2,김상사
828,43,N,많음,313,연구개발,21,3,의학,1,525,4,남자,61,3,1,연구원,4,결혼,2258,15238,7,Y,N,20,4,1,80,1,8,1,3,3,2,1,2,김관지
829,31,N,적음,329,연구개발,1,2,생명과학,1,530,4,남자,98,2,1,연구원,1,결혼,2218,16193,1,Y,N,12,3,3,80,1,4,3,3,4,2,3,2,곽주승
830,39,N,많음,1218,연구개발,1,1,생명과학,1,531,2,남자,52,3,5,매니저,3,이혼,19197,8213,1,Y,Y,14,3,3,80,1,21,3,3,21,8,1,6,신태하
831,41,N,적음,645,판매,1,3,마케팅,1,534,2,남자,49,4,3,영업사원,1,결혼,8392,19566,1,Y,N,16,3,3,80,1,10,2,3,10,7,0,7,김정영
832,28,N,적음,1300,연구개발,17,2,의학,1,536,3,남자,79,3,2,연구원,1,이혼,4558,13535,1,Y,N,12,3,4,80,1,10,2,3,10,0,1,8,박지운
833,25,Y,적음,688,연구개발,3,3,의학,1,538,1,남자,91,3,1,연구원,1,결혼,4031,9396,5,Y,N,13,3,3,80,1,6,5,3,2,2,0,2,나규영
834,52,N,적음,319,연구개발,3,3,의학,1,543,4,남자,39,2,3,제조 디렉터,3,결혼,7969,19609,2,Y,Y,14,3,3,80,0,28,4,3,5,4,0,4,나지이
835,45,N,적음,192,연구개발,10,2,생명과학,1,544,1,남자,69,3,1,분석가,4,결혼,2654,9655,3,Y,N,21,4,4,80,2,8,3,2,2,2,0,2,오이석
836,38,N,많음,1490,연구개발,2,2,생명과학,1,556,4,남자,42,3,1,연구원,4,결혼,1702,12106,1,Y,Y,23,4,3,80,1,1,3,3,1,0,0,0,윤혀찬
837,30,N,없음,1400,연구개발,3,3,생명과학,1,562,3,남자,53,3,1,연구원,4,결혼,2097,16734,4,Y,N,15,3,3,80,1,9,3,1,5,3,1,4,최조범
838,29,N,적음,986,연구개발,3,4,의학,1,564,2,남자,93,2,3,연구 디렉터,3,결혼,11935,21526,1,Y,N,18,3,3,80,0,10,2,3,10,2,0,7,송혀준
839,19,Y,적음,489,인적자원,2,2,기술학위,1,566,1,남자,52,2,1,인적자원,4,미혼,2564,18437,1,Y,N,12,3,3,80,0,1,3,4,1,0,0,0,김태지
840,57,N,적음,210,판매,29,3,마케팅,1,568,1,남자,56,2,4,매니저,4,이혼,14118,22102,3,Y,N,12,3,3,80,1,32,3,2,1,0,0,0,김규재
841,50,N,적음,1099,연구개발,29,4,생명과학,1,569,2,남자,88,2,4,매니저,3,결혼,17046,9314,0,Y,N,15,3,2,80,1,28,2,3,27,10,15,7,윤이하
842,46,N,적음,1009,연구개발,2,3,생명과학,1,575,1,남자,51,3,4,연구 디렉터,3,결혼,17861,2288,6,Y,N,13,3,3,80,0,26,2,1,3,2,0,1,정유운
843,35,N,적음,144,연구개발,22,3,생명과학,1,577,4,남자,46,1,1,연구원,3,미혼,4230,19225,0,Y,N,15,3,3,80,0,6,2,3,5,4,4,3,김성운
844,34,N,적음,1303,연구개발,2,4,생명과학,1,579,4,남자,62,2,1,분석가,3,이혼,2768,8416,3,Y,N,12,3,3,80,1,14,3,3,7,3,5,7,최지교
845,31,N,적음,1274,연구개발,9,1,생명과학,1,581,3,남자,33,3,3,제조 디렉터,2,이혼,10648,14394,1,Y,N,25,4,4,80,1,13,6,4,13,8,0,8,오지우
846,33,Y,적음,1277,연구개발,15,1,의학,1,582,2,남자,56,3,3,매니저,3,결혼,13610,24619,7,Y,Y,12,3,4,80,0,15,2,4,7,6,7,7,김지미
847,33,Y,적음,587,연구개발,10,1,의학,1,584,1,남자,38,1,1,연구원,4,이혼,3408,6705,7,Y,N,13,3,1,80,3,8,2,3,4,3,1,3,권태균
848,30,N,적음,413,판매,7,1,마케팅,1,585,4,남자,57,3,1,영업 담당자,2,미혼,2983,18398,0,Y,N,14,3,1,80,0,4,3,3,3,2,1,2,유혀산
849,35,N,적음,1276,연구개발,16,3,생명과학,1,586,4,남자,72,3,3,의료 담당자,3,결혼,7632,14295,4,Y,Y,12,3,3,80,0,10,2,3,8,7,0,0,이성석
850,31,Y,많음,534,연구개발,20,3,생명과학,1,587,1,남자,66,3,3,의료 담당자,3,결혼,9824,22908,3,Y,N,12,3,1,80,0,12,2,3,1,0,0,0,신유웅
851,42,N,많음,1474,연구개발,5,2,기타,1,591,2,남자,97,3,1,연구원,3,결혼,2093,9260,4,Y,N,17,3,4,80,1,8,4,3,2,2,2,0,신혀성
852,36,N,없음,635,판매,10,4,의학,1,592,2,남자,32,3,3,영업사원,4,미혼,9980,15318,1,Y,N,14,3,4,80,0,10,3,2,10,3,9,7,손강택
853,22,Y,많음,1368,연구개발,4,1,기술학위,1,593,3,남자,99,2,1,연구원,3,미혼,3894,9129,5,Y,N,16,3,3,80,0,4,3,3,2,2,1,2,공웅미
854,41,N,없음,267,판매,10,2,생명과학,1,599,4,남자,56,3,2,영업사원,4,미혼,6230,13430,7,Y,N,14,3,4,80,0,16,3,3,14,3,1,10,강재하
855,35,N,적음,619,판매,1,3,마케팅,1,600,2,남자,85,3,2,영업사원,3,결혼,4717,18659,9,Y,N,11,3,3,80,0,15,2,3,11,9,6,9,조지성
856,31,N,적음,828,판매,2,1,생명과학,1,604,2,남자,77,3,2,영업사원,4,미혼,6582,8346,4,Y,Y,13,3,3,80,0,10,2,4,6,5,0,5,김혀준
857,42,N,적음,319,연구개발,24,3,의학,1,605,4,남자,56,3,3,제조 디렉터,1,결혼,7406,6950,1,Y,Y,21,4,4,80,1,10,5,2,10,9,5,8,김동연
858,45,N,적음,561,판매,2,3,기타,1,606,4,남자,61,3,2,영업사원,2,결혼,4805,16177,0,Y,N,19,3,2,80,1,9,3,4,8,7,3,7,김지이
859,29,N,적음,232,연구개발,19,3,기술학위,1,611,4,남자,34,3,2,제조 디렉터,4,이혼,4262,22645,4,Y,N,12,3,2,80,2,8,2,4,3,2,1,2,이도하
860,31,N,적음,688,판매,7,3,생명과학,1,613,3,남자,44,2,3,매니저,4,이혼,11557,25291,9,Y,N,21,4,3,80,1,10,3,2,5,4,0,1,오주태
